Rank,Club_Name,location,capacity,Website,text
40,Sel Octagon,"Tokyo, Japan",700,,"sel-octagon-tokyo.jp SEL OCTAGON in Tokyo celebrates its fifth anniversary in 2024, rounding out a year that saw the club book a number of heavy hitters, including Afrojack, Don Diablo, Jonas Blue, Sam Feldt, KSHMR, and Sub Zero Project. From the team behind legendary Seoul nightclub, Octagon, SEL OCTAGON consists of a main room and a lounge space, with the venue designed to be what the team describe as an ""indoor festival"". The club is kitted out with a “three-dimensional"" Void sound system, and has recently seen an upgrade to its lighting and production with the addition of an elaborate laser system that lights up SEL OCTAGON’s dancefloor. Residents include music director, KDH, jeonghyeon, and Mr.Black, while forthcoming bookings include Joyryde, 22Bullets, and Ryan Spicer. This year’s fifth anniversary also sees the club throw a full weekend of celebrations that welcome Danny Avila, Showtek and Dimitri Vangelis & Wyman to perform. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
41,AVALON Hollywood,"Los Angeles, CA, USA","1,000",avalonhollywood.com,"Avalon Hollywood has been a cornerstone of Los Angeles’ nightlife since 1927. The venue’s Spanish Colonial architecture connects its trendsetting present with its storied past. On the cutting-edge of technology, Avalon Hollywood undergoes regular upgrades. This past year saw the installation of a Native 4K main LED screen, four 30-watt lasers and a Pioneer A9 mixer. A recent partnership with Insomniac Events, North America’s leading electronic dance music brand, has Avalon Hollywood hosting a cross-genre spread of nights: Factory 93 (techno), Bassrush (bass music), Basscon (hardstyle), Lost in Dreams (melodic bass) and HARD (UK garage). Avalon Hollywood also has its flagship events: Emo Nite, Gasolina (Latin), Dance Yourself Clean (indie dance) and Feel So Close (2010s EDM). Among the DJs who have hit the decks at Avalon Hollywood in the last year are Boys Noize, Kaskade, Markus Schulz, Guiseppe Ottavianni, Maya Jane Coles, Claude VonStroke, Lee Burridge, Will Clarke, and Carl Craig. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
42,Ai Nightclub,Taipei,700,instagram.com/ai.nightclub,"Ai Nightclub emerged from a former mini-concert hall and is spearheaded by Taiwan's nightlife maven, Junior Lin. It is now the island’s largest nightclub and has continued to ascend over the past 18 months thanks to bookings including James Hype, VINAI, Will Sparks, and many more. Not only does Ai lead in terms of music in the region, but also with its design and technology, which are right at the cutting edge. In collaboration with Howard Liao Design, it offers up sleek modernity, along with innovative lighting in the form of a high-definition LED DJ booth, movable LED ceiling, and dynamic LED beams. DJ Junior, renowned on Asia's festival circuit and in places like Las Vegas, is a key resident, as is Lynne, a star of the prog and melodic scene. As of this year, the club is open five nights a week, allowing the time for an even broader palette of sounds. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
43,Boomerang,Hong Kong,450,boomeranghkg.com,"First opening the doors of this former-Hard Rock Cafe in time for Halloween 2020, team Boomerang had to overcome huge challenges at a very early age. Apparently lockdowns, pandemic cancellations, and, most probably, wild horses couldn't stop the juggernaut, with residents like Karlie, Yaat, iLtik, Hansel, and Brandon helping establish the venue as a beacon for electronic music in Hong Kong. Flying the flag for intimate, high-spec, single-room sessions, names like Lost Frequencies, Vinai, Mike Williams, Vini Vici, Nicky Romero, Slander, Vicetone, Brooks, Meduza, Wasback, and Joel Corry have all graced the booth recently. Indicative of how broad the music policy can be — a cornerstone of the address — expect a soundtrack running from bouncy, driving house, to progressive, trance, tech, rave and EDM. The club has also launched its own label, Distinct Records, which was set up in 2023 to push similar sounds. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
44,1900 LE THÉÂTRE,"Hanoi, Vietnam","1,500",instagram.com/1900.hn,"Located in the former building of the historic Quang Lac Theatre in Hanoi, ​​1900 LE THÉÂTRE — known to locals as 1900 — is the largest club in Vietnam’s capital city. Retaining its place inside the top 50 clubs in the world for a third year running, the venue also operates two record labels, Dusted Recordings and 1900 Records, which have released music from young producer V.I.B, Chariot, KODEINE and Trayden. Having recently extended the club's opening hours until 2AM, 1900 LE THÉÂTRE books a range of local and international DJs. These include Juz Kevin hosting 1900’s DJ Station event, a huge headline performance from London-based drum & bass artist DIMENSION, and Jay Hardway and B Jones both performing as part of the DJ Mag Top 100 Clubs tour. The venue also hosts a series of student events, and the club’s Pop Buster night, which puts on themed parties around artists such as Ariana Grande and The Weeknd. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
45,Crobar,"Buenos Aires, Argentina","2,300",crobar.com.ar,"Part of a clubbing brand with three outposts in North American cities New York, Miami and Chicago, Buenos Aires superclub Crobar could be the best of the lot. The venue, perched in the upscale Palermo district, has attracted international attention thanks to its futuristic decor, which merges an industrial aesthetic with luxurious details. An LED ceiling, laser-strafed walls and multiple floors add to the effect, while an opulent chillout room, replete with arched ceiling, completes the picture. None of this would matter if the bookings weren’t up to scratch. In the last few months, European techno heroes like Chris Liebing and Len Faki have appeared at the club, alongside house heads such as Dan Ghenacia, Chris Stussy and Enzo Siragusa. When not booking guests from abroad, the club foregrounds Argentinian talent such as Santiago García, Muter, Victoria Engel and D3FAI. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
46,Zouk Las Vegas,"Las Vegas, NV, USA","2,200",zoukgrouplv.com,"It doesn't get much more iconic than Zouk. Located in the heart of the Vegas strip, the club's three rooms, all powered by state-of-the-art L-Acoustics sound systems, come together to form one of the city's preeminent superclubs. 2023 was another benchmark year for the US outpost of the Singaporean clubbing institution. Regular performances from the likes of KASKADE, DJ Snake, deadmau5, Ludacris, and RL Grime showcased its versatility and range, and 2024 promises to be even bigger. Already, the club has added Illenium, James Hype, Meduza and T-Pain to its residents roster. But what also sets Zouk apart from some of Vegas' other venues is its commitment to its larger community. On Thursdays, you'll find that the bookings tend to be more focused on local talent, with a night catering to Sin City’s diverse industry crowd. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
47,Space Plus,"Bangkok, Thailand","2,000",spaceplusbkk.com,"Space Plus Bangkok lies at the heart of Royal City Avenue, the Thai capital’s main partying district boasting some of the city’s best nighttime entertainment. Though relatively new, the superclub has more than held its own over the years by offering punters a visual and sonic experience designed to feel out of this world. The light and sound production is on a scale hard to come by, with lasers and smoke machines that marry perfectly with the club’s hardstyle and EDM programming. With VIP and standing tables that line a dancefloor for some 2,000 clubbers, Space Plus Bangkok has, since its opening in 2022, taken the city’s nightlife to another level, with shows by international acts like Cali Swag District, Killshot and Romeo Blanco. Let’s see what the team behind this nex-gen club has in store for the years to come. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
48,Aquarius,"Zrće Beach, Croatia","2,000",,"aquarius.club It's fair to say that without Aquarius and its sister clubs on Zrće Beach on the island of Pag, the summer scene in Croatia wouldn't be half as vibrant. What was once a small bar more than 20 years ago is now at the heart of many festival operations, from Hideout to Sonus to Barrakud. It boasts open-air pools, wooden decks, spectacular views out to sea, and beefy sound systems that run from dusk till dawn and have welcomed a real who's who of international talent — from ARTBAT to Marco Faraone, Reinier Zonneveld, Tijana T and many more. As well as the big-name events, in-house promotions also offer up EDM stars, and around a million people a year are estimated to pass through its doors and party under its palm trees. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
49,Marquee Nightclub & Dayclub,"Las Vegas, NV, USA","3,000 (Nightclub), 1,600 (Dayclub)taogroup.com/venues/marquee-las-vegas",,"They say what happens in Vegas stays in Vegas, but the reputation of Marquee Nightclub & Dayclub has travelled far and wide since it first began to usher in a new wave of EDM stars. Located in The Cosmopolitan Hotel on the city’s famous strip, the venue boasts seven bars and three different rooms for its nighttime activities: The Main Room, The Boom Box and The Library. Daytime ravers, meanwhile, are served by two pools on the rooftop deck, where a world-class sound system soundtracks the fun under the Nevada sun. And, if for some reason that’s not shining, have no fear, because The Marquee Dome also offers a year-round indoor pool party experience. Keeping punters entertained is a revolving cast of top jocks, which includes regulars such as trance aficionado Audien, Timmy Trumpet, Mustard, and MTV star and New Jersey’s finest, Pauly D.  Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
50,LOD,"Kathmandu, Nepal","2,500",clublod.com,"LOD is located in a city — Kathmandu — that is perhaps not immediately known for its dance music clubs, but the venue’s d&b audiotechnik sound system, state-of-the-art hydraulic lights system and its cutting-edge production and staging have made it one of South Asia’s most exciting venues. Opened in 2019 in a 9,600-square-foot former car park, LOD’s concept is to blend a rock bar and electronic music night club, with its multi-purpose design set up for both DJing and live performance. LOD puts on one-off and regular events, from club nights featuring international DJs and acts, to nights promoting emerging Nepalese artists. In the past, LOD has booked DJs including Timmy Trumpet, Tom & Collins, Plastik Funk, Quintino, Mr Pig, and Ayo, and notable appearances so far this year include Wasback, Burak Yeter, Nobilee and Rachana Dahal. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
51,D-Edge,"São Paulo, Brazil","1,000",d-edge.com.br,"Turning 24 in 2024, D-Edge is one of Brazil’s longest-running and most-lauded electronic music clubs — and one of the most instantly recognisable on the planet. The São Paulo space’s iconic LED-laced design was groundbreaking when it first launched and still leads the way, looking like something from a futuristic sci-fi film. Originally just the one room, the club now also encompasses a lounge area and terrace, and this year will have its roof renovated to enable daytime events taking in the beautiful view. Sound by Brazilian company KW Audio and Funktion-One adds to the sumptuous sensory experience inside the club, the design of which is led by Muti Randolph. But what about the music? Well alongside club founder and legendary DJ Renato Ratier, there’s been a long list of top talent keeping the club busy three nights per week over the past year, including Mochakk, Seth Troxler, Traumer, Anabel Englund, tINI, Tiga, Marco Faraone, Boys Noize, Sonja Moonear, Âme, Margaret Dygas, and many more. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
52,MAD Club,"Lausanne, Switzerland","1,800",,"mad.club Located in a former locksmith's shop in the heart of Lausanne, MAD Club first opened its doors way back in 1985 and has since grown into a 2,000-capacity space spanning five floors, four dancefloors, and even a restaurant. Jumping up seven places this year, the club has expanded and upgraded its 800-capacity, electro and house-focused second room, JetLag, with the addition of a new sound system and lighting. Alongside its chandelier floor and Turbosound floodlight, MAD Club's main room has been kitted out with a new LED screen and a kinetic light engine. The converted warehouse space has seen a huge array of international artists perform over the last year, including Bob Sinclar, DJs From Mars, Michael Grey, Offenbach, and Fatal Bazooka. MAD Club has also expanded its residents roster, which now boasts Igor Blaska, Fabian Air, Don Pepe, Vkee Madison, Nika, Kiff One, Miss Tyk, Othello, Marco Silva, Tony Big, and Juiceppe. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
53,Soudcheck,"Washington, DC, USA",500,soundcheckdc.com,"The younger sibling of superclub Echostage, Soundcheck is Club GLOW’s intimate, underground experience. Located in the downtown area of the nation’s capital, the 4,400-square-foot basement space showcases up-and-coming talent in a high-level environment, with state-of-the-art lighting and 80,000 watts of sound. Soundcheck is the pre- and post-Project GLOW Festival destination, featuring appearances from the festival’s line-up. It also hosts Insomniac’s Bassrush, a weekly night of bass music. Soundcheck does not discriminate between styles and genres, featuring everything from house to hip-hop and Latin, and offering table service as well as a banging dancefloor. Among the talent gracing the Soundcheck stage this past year are names like Gorgon City, Mau P, Hamdi, Sicaria, Max Styler, Tini Gessler, Chris Avantgarde, PAWSA, LP Giobbi, Eli Brown and testpilot. Additionally, Soundcheck counts Markus Schulz, Infected Mushroom, Ferry Corsten, Funtcase, DJ Soda, Green Velvet, and more among its resident DJs. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
54,Opium,"Barcelona, Spain","3,000",opiumbarcelona.com,"Opened in 2007, Opium Barcelona has weathered the ups and downs of nearly two decades to become one of the city’s go-tos for live music and DJs. Its four room setup offers plenty of choice. The Main Room is has hosted artists including Claptone or Oliver Heldens. The Dawn Room caters for VIPs, with both a dancefloor and terrace. The Cave houses a more underground vibe, literally, its low ceilings lending it an intimate, heads-down atmosphere. And The Terrace takes advantage of the club’s beachside location; an alfresco place to chill and chat while the party carries on inside. If all that sounds like something you shouldn’t undertake on an empty stomach, then you can also check out the club’s beachfront terrace, with a restaurant offering the best in Mediterranean gastronomy to enjoy while taking in the fresh sea air. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
55,Amnesia Cap d’Agde,"Cap d’Agde, France","3,000",,"amnesia.fr Created in 1984 and situated in the south of France, Amnesia Cap d’Agde is a Mediterranean, open-air, purpose-built club that harks back to the style of a Greek theatre in its design, with an L-Acoustic sound system and multiple LED screens surrounding. In the past 12 months, the club has been building up to an extra exciting summer in 2024, after purchasing the adjacent land and creating an extension to give increase its capacity, the quality of guest DJs and VIP experience. The likes of David Guetta, Armin van Buuren and Timmy Trumpet have played there this past year, flanked by residents Ceeryl Chardonnay, Fred Pellichero, Sty and Grosso Modo. On the whole, key nights feature electronic music headliners with much celebration and pazazz, while Prestige Sundays bring hip-hop party vibes with an equal amount of joy and happiness displayed. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
56,Hakkasan,"Las Vegas, NV, USA","3,900",hakkasan.com/las-vegas,"For over a decade, Hakkasan has remained one of Sin City’s most well-known venues, and one of its most visited nightlife destinations. Each of Hakkasan’s four rooms: Main, Pavilion, Level 3 Club and Level 3 Lounge, offers an entirely unique experience for clubbers and diners alike, with slick decor and ambience for every mood. It is not unexpected to see celebrities of all stripes bumping to the beats in this 10,000-square-foot space. Hakkasan keeps the aural experience top-notch with an Audiotek sound system and Turbosound speakers. But the club’s primary attraction is visual: the Hakkasan Grid is a multimillion-dollar, custom-built kinetic light installation, consisting of 57 feet of seamless and sculptural custom-made pixel-mapped LED triangles. Hakkasan keeps its doors open from Thursday through Saturday, with artists including Lil Jon, Steve Aoki, Tyga, Murda Beatz, 4B, Loud Luxury, Sofi Tukker and Timmy Trumpet as its selectors. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
57,The Grand Factory,"Beirut, Lebanon","1,350",factory-people.com/The-Grand-Factory,"Beirut’s Grand Factory has endured numerous challenges in recent years, but has kept the music alive — a testament to the passion and dedication of its team. The club’s Funktion-One-fitted, 1,000-cap main room, Factory, boasts a fixed kinetic lighting rig that’s been expanded in the past year, creating “a more immersive experience on the dancefloor”, says general manager Samer Makarem. Second room, Reunion, holds 250 people and boasts a Stage Accompany Soundsystem with Analogue Feedback technology; while Soul Kitchen serves up cocktails and music. Sounds range from local bands at Friday Night Live to the “glitz and glam disco” of Love Night, the “guilty pleasures” of House of Pop, and the modern pop and Afro-house of House Call. But the beating heart is 2ND SUN, the club’s “weekly electronic ritual”. Over the past year, international acts like Adam Port, Mind Against, Magdalena, Shimza, and Henri Bergmann have played alongside the extensive roster of residents: Tala, Vanclod, Rita, Wass, Bibz, Rolbac, Nareg, Jean, Allen Behlok, Romax, Tia, and club founder Jade. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
58,Nitsa,"Barcelona, Spain","1,000",nitsa.com,"Nitsa was born in 1994, and is located inside Sala Apolo, Barcelona’s quintessential concert venue and former cabaret theatre space. The club thrives on nurturing local artists and crews, as well as booking international DJs and takeovers. It’s home to Barcelona FLINT (female, lesbian, intersex, trans and agender) collective MARICAS, who this year celebrated their sixth anniversary with OK Williams and D.Tiffany alongside residents ISAbella and more. As well as getting your fix of house and techno acts, there are occasional nights programmed with drum & bass, plus you can find Caribbean and African grooves at parties such as Jokko and Poly-Rythmo. In the past 12 months, the club has welcomed Berlin queer collective Herrensauna, Dekmantel’s club tour, and a diverse range of artists like Joe Claussell, Avalon Emerson, Yaeji, Optimo, The Hacker, Marcel Dettmann and VTSS. Upcoming bookings include Helena Hauff, CRYSTALLMESS, Raresh B2B Francesco Del Garda, and Eris Drew.  Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
59,Ministry Of Fun,"Banská Bystrica, Slovakia","1,600",,"ministryoffun.sk Until recently, Slovakia hasn’t featured on most people’s clubbing itineraries — but that’s set to change, thanks to Ministry Of Fun. The midsized venue in the small city of Banská Bystrica has actually been running for 15 years, though a recent refurb during the Covid shutdown brought in not just new decor but a Cybermotion intelligent moving speed chain hoist that circulates LED lights around the club. It was the first club to install an L-Acoustics K1 sound system, which pumps out a varied array of styles, from trance, techno and hardstyle to drum & bass, while high-profile bookings, including Deborah De Luca, Nora En Pure, Sub Focus, Paul van Dyk and Hedex, have attracted international attention. The venue also runs two resident nights: Ministry Of House, helmed by Dave Eremias, Emty, Anndy, Mustee and Izzy, and Video Oldies with Rudo Tucek, a regularly sold-out event with a soundtrack of hits from the ’80s through the 2000s.  Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
60,Farout Beach Club,"Ios Island, Greece","2,500",faroutbeachclub.com,"Christos Mykoniatis founded FarOut Beach Club to “reignite the youthful spirit that once thrived on Mylopotas Beach during the liberating decades of the ’60s and ’70s”. Today, Mykoniatis’ sons Makis and Mimis run the venue, continuing to cultivate a “new-age paradise” decked out with a pool, restaurant, luxury accommodation, and a large-scale nightclub. With a gorgeous backdrop of the Aegean Sea, FarOut Beach Club has brought many renowned talents to this stunning Greek island, including Peggy Gou, Mau P, GORDO, Timmy Trumpet and Will Sparks. Creating memorable parties powered by a Funktion-One sound system, the club offers an immersive experience with an escapist feel. Catering for holidaymakers and locals with a penchant for house, techno, disco and everything in between, it’s an unparalleled playground complete with golden sands and crystal-clear waters. And the best thing about the daytime parties? They’re free to attend. A must if you're passing through the Cyclades islands. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
61,Phi Beach,"Baja Sardinia, Italy","1,600",phibeach.com,"Open since 2008, Phi Beach is a magnificent open-air club with picturesque views across the Mediterranean Sea. It’s located inside the ancient military fortress of Forte Cappellini, which dates back to the 1800s. This year, the club introduced an intimate new 150-capacity space called The Rock that will run until 2AM, and a new DJ booth on the beach has also been built. In the last 12 months, Phi Beach invited Black Coffee, Tale Of Us, Peggy Gou and more to play alongside its trusted residents. Aiming to reach new heights, the club has plans to launch a festival and a record label in motion.  Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
62,Warehouse,"Nantes, France","2,500",,"warehouse-nantes.fr Located in the historic cultural hotspot Hangar à Bananes, Warehouse is a former shipping hangar transformed by three industry experts and divided into two rooms. The main room includes a French-Italian sound system by MDC, while the second room boasts a Funktion-One setup. In the last year, the Warehouse team has launched a new 360° stage and booked legendary names from Laurent Garnier, Ellen Allien and Chase & Status to emerging talents like Trym, Sara Landry and Kabylie Minogue. Key nights include Under, Nantes Rave Techno, and Terror Jungle, offering a discernible mix of melodic techno, industrial techno, and house, respectively. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
63,ZEROTOKYO,"Tokyo, Japan","1,500",,"zerotokyo.jp Tokyo’s lively Kabukicho neighbourhood is home to the city’s newest nightlife venue, ZEROTOKYO. Opening its doors in spring of 2023, ZEROTOKYO bills itself as the “entertainment junction”, and it certainly is that, with over 100 Adamson Systems Engineering speakers on each floor and Cosmic Lab providing a multi-sensory visual experience. Spread over three levels and five areas, the architecture and design of its ornate R Bar, strip club-like Z Lounge, no-expense-spared Z Hall, glitzy Ring and even the red-tinged entrance give a futuristic feel to ZEROTOKYO. It hosts international acts such as Jeff Mills, Oliver Heldens and Nina Kraviz, but ZEROTOKYO’s key night is its Thursday party, Sparks. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
64,Club Galame,"Foshan City, China","2,000",instagram.com/club_galame_official,"Situated in an old abandoned factory, Club Galame, is Southeast China's premier home of clubbing. Across its four expansive rooms, the club counts a roster of both local and international superstar guests, and wasted no time getting the biggest and best of the latter when China’s Covid restrictions were finally lifted early in 2023. Highlights from last year included Armin van Buuren, W&W, KSHMR, SLANDER, MaRLo, Yellow Claw, KAAZE, 4B, AXMO, TroyBoi, Sefa, Villain, Ran-D, and Keltek, to name just a few. But 2023 was also a year of seachange for the club. The Club Galame team decided to completely rebuild the venue, taking everything down and starting over from scratch. Now the club starts 2024 on the precipice of a relaunch, having signed residents Kaiju, Beto, Meguru, and Ram onto its roster to help shepherd the renowned venue into a completely new era of Chinese clubbing. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
65,The Grand,"Boston, MA, USA","1,000",thegrandboston.com,"Despite its East Coast location, Vegas fanfare awaits at The Grand. The plush aesthetic and top-tier line-ups at this Seaport District haunt are favoured by bottle-service crowds who roll up for residents like Kaskade, 50 Cent, Armin van Buuren, Steve Aoki and Don Diablo. However, club-goers with underground tastes got an upgrade recently, too. “In 2023, we introduced a new room that offers a more intimate, in-the-round-style clubbing experience,” shares Big Night Entertainment’s director of nightlife marketing, Christina Najm. On Wednesdays, this side stage is all about house music, but A-list glamour has reigned supreme in the main venue since 2017, where a custom 178-piece kinetic lighting system, 70-foot wraparound LED wall and shimmering chandeliers evoke shouts of, “Viva Las Boston, baby!” Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
66,Pitt Club,"Kuala Lumpur, Malaysia",1200,www.pittclubkl.com,"Brand new Malaysian venue Pitt Club only opened in July 2023, but has already made a substantial impact on Kuala Lumpur nightlife. Open from Wednesday through Sunday, the club puts on a mix of mainstream, hip-hop/R&B and EDM events, and since opening has booked DJs including Nicky Romero, Dannic, Mariana BO, Dr. Phunk, Marnik, Wukong, and Bassjackers. Previously an event hall, the space has been completely transformed into a futuristic venue featuring a single 15,000-square-foot circular main room that is graced by a custom Tecnare sound system and kinetic LED lighting system, the first of its kind in Malaysia. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
67,Drumsheds,"London, UK","15,000",drumshedslondon.com,"Broadwick Live (the company behind Printworks) smashed back into clubland last autumn with the launch of its latest iteration of Drumsheds at a disused Ikea store in Tottenham, North London. The warehouse venue has three rooms (X, Y and Z), each with its own unique layout, as well as an expansive outdoor space and a covered parking lot that allows for open-air events to take place in any weather. The Hydra, False Idols, D&B event Worried About Henry and Skepta and Jammer’s Más Tiempo brand are just a handful of those that have sold out shows at Drumsheds in the last six months. The fact Broadwick Live consistently manages to fill this gargantuan venue speaks to the curation, the effective use of space, and London’s thirst for clubbing on the largest of scales. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
68,Rex Club,"Paris, France",800,rexclub.com,"Rex Club started out in the 1930s as an art deco cinema. In the late ’80s it started putting on acid house nights, and when French legend Laurent Garnier returned to Paris in the early ’90s after a spell in Manchester he started throwing his Wake Up! parties there, which helped properly kick off the city’s electronic dance music scene. Since then Rex has made its reputation as a premier place for dance music in the French capital, with the likes of Daft Punk and various Ed Banger artists all playing memorable shows there. Former resident DJs have included Dyed Soundorom, D'Julz and Jennifer Cardini, while more recently Acid Arab, John Talabot and others have held down regular spots. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
69,Eden,"Ibiza, Spain","4,000",edenibiza.com,"2024 marks a quarter of a century in operation for Eden, one of Ibiza's most recognisable clubs. Over those 25 years, it has done it all, from hosting big-name pop icons like Lady Gaga to contemporary electronic music tastemakers like Disclosure. It has also long been home to Shine, one of Ibiza's most prestigious trance parties, with regular guests like Paul van Dyk. At the same time, tech-house crew Abode and drum & bass night Worried About Henry regularly push the venue's Void Incubus system to the max, and Eden has integrated music recognition technology so artists whose tunes get played are rewarded for their contributions. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
70,Cafe Del Mar,"Phuket, Thailand","2,850",phuket.cafedelmar.com,"Where the beach meets the party pretty much sums up the location for Café Del Mar in Thailand. One of the dreamiest of hedonistic hotspots, Café Del Mar Phuket is situated on the beach of Kamala. Opened up in 2017, it has since welcomed many renowned DJs, and most recently the likes of Sven Väth, Nina Kraviz, Sam Divine, Dixon and Dubfire played the venue. There’s an outside area, which naturally allows for higher numbers, and an inside space that’s a tad more snug. The venue’s fancy restaurant, along with resident DJs Mr Sour, Ekanan, Hebdonis and Eli Cicada, all play a part in the making of this most excellent club destination. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
71,Time,"Costa Mesa, CA, USA",738,timenightclub.com,"Time Nightclub in Orange County climbs a further seven places in this year’s poll. Located in a former Nike flagship store, the venue boasts a Funktion-One sound system and a ""ladies’ lounge"" with a private bar, with the design of the club revolving around a huge chandelier that hangs over the dancefloor, made up of Chauvet MotionOrb lighting fixtures and Elation Pixel Bars controlled by MADRIX Software. This year has seen the club — which plans to expand its dancefloor in the near future — book EDM heavyweights including Afrojack, Dimitri Vegas, Steve Aoki, Malaa, and Shiba San, as well as run its popular ’00s-themed party, Flashback. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
72,WOMB,"Tokyo, Japan",800,,"womb.co.jp Opened in 2000, WOMB is Tokyo’s ultimate dance music destination. Based in the Shibuya district and reached through an unassuming side street, it’s a hub for underground house, techno and other styles that in the last year has booked international talent like Ivan Smagghe, Binh, dBridge and Fred P. The main room is a three-floor atrium, while on the first and fourth floor of the club there are two further rooms that spotlight Tokyo’s upcoming DJs. The fourth-floor space was recently renovated, adding new seating areas and an immersive dancefloor. Clubbers also visit for its exceptional residents, including techno selector DJ Nobu, drum & bass boss DJ AKi, DJ Sodeyama and Drunken Kong.  Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
73,Marquee,Singapore. Singapore,"2,127",marqueesingapore.com,"A new entry to the poll, Marquee Singapore is run by the team behind the Marquee venues in New York, Las Vegas and Sydney. Located in Marina Bay Sands, the venue is Singapore's largest club, with a three-storey spiral slide and an eight-armed indoor ferris wheel that features a photo booth in every pod. Located in the former space of an MBS theatre, Marquee Singapore celebrates its fifth anniversary in April. The venue packs a festival-like experience into a club, with artists including Tiësto, NERVO, Will Sparks, Chung Ha and Bruno Mars all recently passing through, and it also hosts themed nights that feature dress codes like “Galactic Glam”. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
74,Razzmatazz,"Barcelona, Spain","3,000",salarazzmatazz.com,"Razzmatazz is a club that celebrates the foundations of electronic music, while also embracing the sounds of the future. In 2023, it collaborated with more than 1,000 artists, booking DJs from across the spectrum — Ben Sims, Dr. Rubinstein, Interplanetary Criminal, LSDXOXO, Octave One, Paula Temple and UNIIQU3 all played its hallowed halls — and did away with the resident DJ role, opting instead to work with a wider roster of DJs from across the Spanish scene. Collaborations with collectives and labels remain at the heart of this venue’s ethos, which is why it continues to return to the Top 100 Clubs list. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
75,FOMO,"Baku, Azerbaijan",500,fomobaku.com,"In the past year, Azerbaijan clubbing has irrevocably changed. Since opening its doors in late 2023, FOMO has become the centre of gravity for house and techno in the country's capital, Baku. Powered by a state-of-the-art d&b Audiotechnik sound system, the club's emphasis is on the finest in underground dance music, bringing everyone from Âme to Leo Pol to the city by the Caspian Sea. If 2023 was the year that introduced FOMO to the world, the club is already capitalising on its launch momentum, inviting some of the underground's most cutting-edge artists this year, such as Zombies in Miami, Cromby, and Mano Le Tough.  Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
