,Japanese Name,Romanized Name,Official English Name,Debut,Affiliations,Occupations,Status,Birthday,,Character,Origin,Residence,Age,Height,Blood Type,English Name,Meaning,Type,Age at Death,LiveAction Portrayal,Alias,First Appearance,Admiral,Main Ship,Total Bounty,Affiliation,Patriarch,Captain,Occupation,Leaders,Residency,12th Leader,13th Tobe Leader,Kingdom,Boss,Matriarch,GovernorGeneral, Number,Size,First appearance,Region,Netflix English VA,Birth Name,Japanese VA,Funi English VA,Features,Weight,Fruit Debut,Usage Debut,Previous User, key,Vessel,Homeland,Completion Date,Length,Affiliates
337,サディちゃん,Sadi-chan,Sadie,Chapter 531; Episode 432,Impel Down,"Chief Guard (獄卒長, Gokusotsu Chō?)",Alive,March 5th,Marissa Lenti,Sadi,Grand Line,,21 (debut)23 (after timeskip),"183 cm (6'0"")",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,サルデス,Sarudesu,Saldeath,Chapter 530; Episode 431,Impel Down,"Chief Guard (牢番長, Rōban Chō?)",Alive,June 8th,Orion Pitts,Saldeath,Grand Line,,16 (debut)18 (after timeskip),"218 cm (7'1"") (after timeskip)",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,サイ,Sai,Sai,Chapter 704; Episode 632,Happo Navy; Chinjao Family; Straw Hat Grand Fleet,Captain of the Third Ship of the Straw Hat Grand Fleet; 13th Leader of the Happo Navy; Martial Artist (VIZ: Fighter),Alive,August 13th,Kyle Igneczi,Sai,West Blue (Kano Country),Kano Country,28,"242 cm (7'11"")",F,,,,,,,,,,,,,,,,,,,,,,,0309,,,,,,,,,,,,,,,,,,
340,セイバー,Seibā,Saber,Chapter 552; Episode 461,Spade Pirates,Pirate,Alive,,,Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Mero Mero no Mi (Artificial),Esu-Sunēku,S-Snake,Chapter 1059; Episode 1087,Seraphim (Pacifista),,Alive,,,S-Snake,,Egghead,,,Green Blood,Love-Love Fruit,Fall in Love,Artificial Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Mera Mera no Mi,Sabo,Sabo,Chapter 583; Episode 494,Revolutionary Army;Dadan Family (former);Goa Kingdom (defected),"Chief of Staff (参謀総長, Sanbō Sōchō?) of the Revolutionary Army; Noble (former); Pirate (former); Thief (former); Bandit (former)",Alive,March 20th,"Morgan Garrett (young);Vic Mignogna (adult, 2017-2019);Johnny Yong Bosch (adult, 2019-present)",Sabo,East Blue (Goa Kingdom),Goa Kingdom (former); Mt. Colubo (former); Baltigo (former); Momoiro Island,"10 (flashback, debut)22 (after timeskip)","100 cm (3'3"") (flashback, debut)187 cm (6'2"") (After timeskip)",X,"Flame-Flame Fruit (VIZ, Funimation);Flare-Flare Fruit (4Kids, Funimation subs)",Sound of fire burning,Logia,,,"Lucy (ルｰシｰ, Rūshī?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Sui Sui no Mi (Artificial),Esu-Shāku,S-Shark,Chapter 1065; Episode 1094,Seraphim (Pacifista),,Alive,,,S-Shark,,Egghead,,,Green Blood,Swim-Swim Fruit,Smooth Swim,Artificial Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Supa Supa no Mi (Artifical),Esu-Hōku,S-Hawk,Chapter 1059; Episode 1087,Seraphim (Pacifista),,Alive,,,S-Hawk,,Egghead,,,Green Blood,Dice-Dice Fruit,Sound of slicing,Artificial Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Nikyu Nikyu no Mi (Artificial),Esu-Bea,S-Bear,Chapter 1062; Episode 1092,Seraphim (Pacifista),,Alive,,,S-Bear,,Egghead,,,Green Blood,Paw-Paw Fruit,Paw,Artificial Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,りゅーのすけ,Ryūnosuke,Ryunosuke,Chapter 803; Episode 752,,,Deceased,,Geoff Bisente,Ryunosuke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,リュウボシ,Ryūboshi,Ryuboshi,Chapter 609; Episode 528,Neptune Family,Prince of the Ryugu Kingdom,Alive,June 24th,Alex Ross,Ryuboshi,Grand Line (Ryugu Kingdom),Ryugu Palace,23,544 cm (17’10”),S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,ルシアン,Rushian,Russian,Chapter 775; Episode 715,,,Deceased,,Felecia Angelle,Russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,ラッシュ,Rasshu,Rush,Chapter 558,Ally of the Whitebeard Pirates,Pirate; Captain,Alive,,N/A,Rush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,ルン,Run,Lun (Viz);Run (FUNimation subs),Chapter 679; Episode 605,Caesar Clown,Pirate (former),Alive,,Timothy McNamee,Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,ロクサーヌ,Rokusānu,Roxanne,Chapter 46,,,Alive,January 23rd,,Roxanne,East Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,ローウィング,Rо̄wingu,Lowwing,Chapter 967; Episode 959,Roger Pirates,Pirate,Unknown,,,Rowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,ロス,Rosu,Ross,Chapter 223; Episode 146,Bellamy Pirates,Combatant; Swordsman,Unknown,,Scott Cantrell Tyson Rinehart (Episode 207+),Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,ロズワード聖,Rozuwādo Sei,RoswaldRosward (WT100),Chapter 497; Episode 391,World Government,World Noble,Alive,June 28th,John Tillman,Rosward,Red Line (Mary Geoise),Mary Geoise,53 (debut)55 (after timeskip),"215 cm (7'1"")",XF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,ロロノア・ピンゾロ,Roronoa Pinzoro,Roronoa Pinzolo,SBS Volume 105 (mentioned),,Swordsman,Unknown,,,Roronoa Pinzoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,ロロノア・ゾロ,Roronoa Zoro,"Roronoa Zoro (Uncut dub, Early VIZ manga);Roronoa Zolo (Edited dub, VIZ Media, 4Kids)",Chapter 3; Episode 1,Straw Hat Pirates;Straw Hat Grand Fleet;Shimotsuki Family (descended);Ninja-Pirate-Mink-Samurai Alliance (disbanded),Master Swordsman; Pirate; Crew Combatant; Senior Officer; Rōnin (temporary); Bounty Hunter (former),Alive,November 11th,Christopher R. Sabat;Brina Palencia (young);Cynthia Cranz (young) (Episode 2);Aaron Dismuke (young) (Unlimited Adventure),Roronoa Zoro,East Blue,"Shimotsuki Village (former);Kuraigana Island (former, temporary)",19 (debut)21 (after timeskip),"178 cm (5'10"") (debut)181 cm (5'11"") (after timeskip)",XF,,,,,Mackenyu;Maximilian Lee Piazza (young),"""Zoro-juurou"" (ゾロ十郎, Zorojūrō?, Funimation: Zorojuro, VIZ Media: ""Zolojuro"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,ローリング・ローガン,Rōringu Rōgan,Rolling Logan,Chapter 706; Episode 652,Majiatsuka Kingdom,Army Commander (Viz: Military Captain),Alive,,Brian Barber,Rolling Logan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,六鬼（ロッキ）,Rokki,Rokki,Chapter 1036; Episode 1063,Beasts Pirates (Numbers),,Alive,,Shunsuke Kanie,Rokki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,ロシオ,Roshio,Roshio,Chapter 222; Episode 146,Roshio Pirates,Pirate; Captain,Deceased,June 15th,Patrick Seitz,Roshio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,ロジ,Roji,Roji,Chapter 391; Episode 275,,Housewife,Deceased,,Jessica Cavanagh,Roji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,ロッカク,Rokkaku,Rokkaku,Chapter 4; Episode 2,Marines (153rd Branch),Marine Lieutenant Junior Grade,Alive,June 19th,Greg Dulcie,Rokkaku,East Blue,Shells Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,ロロノア・アラシ,Roronoa Arashi,Roronoa Arashi,SBS Volume 105 (mentioned),,,Deceased,,,Roronoa Arashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,ロディ,Rodi,Roddy,Chapter 805; Episode 754,Mokomo Dukedom; Guardians; Ninja-Pirate-Mink-Samurai Alliance,Guardian,Alive,,Ian Mead Moore,Roddy,,Zou (Whale Forest),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,ロックスター,Rokkusutā,Rockstar,Chapter 234; Episode 151,Red Hair Pirates,Pirate,Alive,June 9th,Andrew Chandler,Rockstar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,ロックス・D（ディー）・ジーベック,Rokkusu Dī Jībekku,"Rocks D. Xebec (VIZ);Rox (Funimation, formerly VIZ )",Chapter 957; Episode 958,Rocks Pirates,Pirate Captain,Deceased,,Unknown,Rocks D. Xebec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,ロシュ,Roshu,Roshu,Chapter 391; Episode 275,Ohara Archaeologists,Archaeologist,Deceased,,Ben Holmes,Roche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,ロード,Rōdo,Rodo,"Chapter 898 (cover), Episode 836","Straw Hat Grand Fleet (New Giant Warrior Pirates), Buggy's Delivery (former)",Navigator; Mercenary (former),Alive,February 19th,,Road,,Elbaf,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,"Neko Neko no Mi, Model: Leopard",Robu Rutchi,Rob Lucci,Chapter 323; Episode 230,CP0; CP9 (former); Galley-La Company (former),Cipher Pol Agent; Shipwright (undercover),Alive,June 2nd,Jason Liebrecht,Rob Lucci,Grand Line,Guanhao (former),28 (debut)30 (after timeskip),"212 cm (6'11½"") ",XF,"Cat-Cat Fruit Leopard Model (VIZ);Cat-Cat Fruit, Model: Leopard (VIZ, Funimation)",Cat,Zoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,リヴァーズ,Rivāzu,Rivers,Chapter 223; Episode 146,Bellamy Pirates,Sniper,Unknown,,Patrick Seitz,Rivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,リスキー兄弟,Risukī Kyōdai,Risky Brothers,Chapter 475; Episode 369,Rolling Pirates; Thriller Bark Victim's Association,Pirates,Alive,,"Brandon Jerome Bristowe, Ian Moore",Risky Brothers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,リスキー兄弟,Risukī Kyōdai,Risky Brothers,Chapter 451; Episode 344,Perona; Thriller Bark Pirates,Wild Zombies,Deceased,,"Brandon Jerome Bristowe,Ian Moore",Risky Brothers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,ロブソン,Robuson,Robson,Chapter 135; Episode 81,Drum Kingdom (former); Bliking Pirates (disbanded),Wapol's Pet,Unknown,,Kyle Phillips,Robson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,リント,Rinto,Lint,Chapter 391; Episode 275,Ohara Archaeologists,Archaeologist,Deceased,,Martha Harms,Rint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,リッパー,Rippā,Ripper,Chapter 7; Episode 3,"Marines, Marine 153rd Branch",Marine Commander; Base Commander,Alive,June 13th,Greg Dulcie,Ripper,East Blue,Shells Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,リク・ドルド3世,Riku Dorudo Sansei,Riku Doldo III,Chapter 706; Episode 636,Riku Family,King; Corrida Colosseum Gladiator (former),Alive,June 27th,Mark Oristano,Riku Doldo III,Grand Line (Dressrosa),Dressrosa,60,"261 cm (8'6¾"")",S,,,,,,"""Ricky"" (リッキー, Rikkī?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,リカ,Rika,Rika,Chapter 3; Episode 2,Marine 153rd Branch,Waitress,Alive,June 18th,Kate Oxley,Rika,East Blue,Shells Town,,,,,,,,Kamdynn Gary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,リリカ,Ririka,Ririka,Chapter 4; Episode 2,,Bartender,Alive,November 15th,Cynthia Cranz,Ririka,East Blue,Shells Town,,,,,,,,Nicole Fortuin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,ロイダー,Roidā,Reuder,Chapter 550; Episode 459,,Reporter,Alive,,Wyn Delano,Reuder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,リンドウ,Rindō,Rindo,Chapter 516; Episode 410,Kuja; Kuja Pirates,Pirate; Sniper,Alive,September 16th,Jennifer Green,Rindo,Calm Belt (Amazon Lily),Amazon Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,レッドキング,Reddokingu,Red King,Chapter 1078,Marines,Vice Admiral,Alive,,,Red King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,リフォルト,Riforuto,Reforte,Chapter 556; Episode 465,Whitebeard Pirates,Pirate; Captain,Alive,,,Reforte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,リッチー,Ritchī,Richie,Chapter 9; Episode 6,Cross Guild; Buggy Pirates,Pet; Captain (former),Alive,July 23rd,Mike McFarland,Richie,,Karai Bari Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,レベッカ,Rebekka,Rebecca,Chapter 704; Episode 633,Dressrosa; Corrida Colosseum,"Lady-in-waiting, Gladiator (former), Princess Of Dressrosa (former)",Alive,August 4th,Christine Marie Cabanos,Rebecca,Grand Line (Dressrosa),Dressrosa,16,"171 cm (5'7"")",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,リサイクルワン,Risaikuruwan,Recycollie,Chapter 1063; Episode 1092,Vegapunk,,Alive,,Kensuke Shimizu,Recycle-Wan,,Egghead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,ラングラム,Ranguramu,Langram,Chapter 966,Roger Pirates,Pirate,Unknown,,,Rangram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,レック,Rekku,Wreck,Chapter 1038; Episode 1065,Kid Pirates,Pirate,Unknown,,Jōichirō Ōtsuki,Reck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,ラン,Ran,Ran,Chapter 516; Episode 410,Kuja; Kuja Pirates,Pirate,Alive,November 24th,Clarine Harp,Ran,Calm Belt (Amazon Lily),Amazon Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,ランドルフ,Randorufu,Randolph,Chapter 827; Episode 786,Big Mom Pirates,Pirate,Alive,,Caleb Yen,Randolph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,ラーメン,Rāmen,N/A,Chapter 823; Episode 777,Happo Navy,King,Alive,,Alex Mai,Ramen,,Kano Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,ランポー,Ranpō,Rampo,Chapter 711; Episode 641,Tontatta Kingdom; Tontatta Pirates; Straw Hat Grand Fleet,"Vice-chief (副長, Fukuchō?); Pirate",Alive,,Josh Bangle,Rampo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,ラーテル,Rāteru,Ratel,Chapter 1073,Marines,Marine Captain,Alive,,,Ratel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,ランバ,Ranba,Ramba,Chapter 551; Episode 460,Subordinate of the Whitebeard Pirates,Pirate; Captain,Alive,July 10th,Phil Parsons,Ramba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,ラクヨウ,Rakuyō,Rakuyo,Chapter 553; Episode 461,Whitebeard Pirates,7th Division Commander; Pirate,Alive,September 8th,James Chandler,Rakuyo,South Blue,,Over 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,ラキ,Raki,Raki (Viz);Laki (FUNimation),Chapter 249; Episode 163,Shandia; Pumpkin Cafe,Shandia Warrior; Cook,Alive,July 7th,Lydia Mackay,Raki,Sky Islands (Skypiea),,20 (debut)22 (after timeskip),"179 cm (5'10"")",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,らくだ,Rakuda,Rakuda,Chapter 929; Episode 922,,,Alive,,Brian Hathaway,Rakuda,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Maki Maki no Mi,Raizō,Raizo,Chapter 817; Episode 768,Kozuki Family; Nine Red Scabbards; Ninja-Pirate-Mink-Samurai Alliance,Ninja; Retainer of the Kozuki Family; Samurai; Member of the Kozuki Family Oniwabanshu (Former); Bandit (Former),Alive,February 26th,Andrew Kishino,Raizo,Grand Line (Wano Country),Wano Country ,35 (born 55 years ago),"311 cm (10'2"")",X,Scrolling Jutsu (VIZ);Scroll-Scroll Fruit (One Piece Official YouTube Channel),Scroll,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,ラクーン,Rakūn,Raccoon,"One Piece novel A, Volume 2 ",His crew,Pirate Captain,Unknown,,"75,000,000",Raccoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,ラビヤン,Rabiyan,RabianRabiyan (OPCG),Chapter 827; Episode 786,Big Mom Pirates; Cacao Island,,Alive,,Caleb Yen,Rabiyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,雷刃,Raijin,Raijin,Chapter 931; Episode 925,Beasts Pirates; Orochi Oniwabanshu (former); Kurozumi Family (former),Ninja; Pirate,Alive,June 4th,Landon McDonald,Raijin,Wano Country,"Flower Capital, Wano Country",45,"200 cm (6'7"")",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,SMILE,Rabittoman,N/A,"Chapter 916, Episode 904",Beasts Pirates,Gifter,Alive,,Gary Furlong,Rabbitman,,,,,,Rabbit SMILE,,Artificial Zoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,ライディーン,Raidīn,"Rydin (Former VIZ, simulcast);Raideen (VIZ)","Chapter 866, Episode 836",Giant Warrior Pirates (former),,Unknown,November 14th,Cory J. Phillips,Raideen,,Elbaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,クインシー,Kuinshī,Quincy,Chapter 1039; Episode 1066,Kid Pirates,Pirate,Unknown,,Arisa Tsuruno,Quincy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,"Ryu Ryu no Mi, Model: Brachiosaurus",Kuīn,Queen,Chapter 920; Episode 910 (silhouette); Chapter 925; Episode 918,Beasts Pirates; MADS (former),All-Star; Scientist; De Facto Ruler of Udon (former),Alive,July 13th,Major Attaway,Queen,Grand Line,Wano Country (Onigashima),56,"612 cm (20'1"")",XF,"Dragon-Dragon Fruit, Model: Brachiosaurus","Dragon, Brachiosaurus",Ancient Zoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,プルル,Pururu,Pururu,Chapter 1079;,Bourgeois Pirates; Red Hair Pirates,Pirate; Captain,Alive,,"""Trembling"" Pururu (ブルブルのプルル, Buruburu no Pururu?, Viz: ""Pururu the Brr-rave"")",Pururu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,クイーン・ママ・シャンテ号,Kuīn Mama Shante-gō,Queen Mama Chanter,,Big Mom Pirates,,,,,Queen Mama Chanter,,,,,,,,,,,,Chapter 730; Episode 662,,,,,,,,,,,,,,,,,,,,,,Keiji Hirai,Oscar Seung,,,,,,,,,,,
406,パシフィスタ,Pashifisuta,Pacifista,,Marines,Cyborgs; human weapons,,,,Pacifista,,,,,,,,,,,,Chapter 505; Episode 399,,,,,,,,,,,,,,,,,,,,,,,,Clones of Bartholomew Kuma (Prototypes),,,,,,,,,,
407,知（ピタゴラス）,Pitagorasu,Pythagoras,Chapter 1065; Episode 1095,Marines (SSG),,Deceased,,Tokuyoshi Kawashima,Pythagoras,,Egghead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,プップー,Puppū,Puppu,Chapter 155; Episode 92,Pirate crew,"Pirate, Captain",Unknown,,Kazunari Tanaka,Puppu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,プドス,Pudosu,N/A,Chapter 924; Episode 916,,Waiter; Prisoner Mine Guard,Alive,,Geoff Galneda,Pudos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,プリンプリン,Purinpurin,Purinpurin,"Chapter 75, Episode 34","Marines, Marine 77th Branch",Marine Commodore,Deceased,May 16th,Barry Yandell,Pudding Pudding,East Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Gunyo Gunyo no Mi,Purinsu Gurusu,Prince Grus,Chapter 966 (cover); Episode 1090,Marines (SWORD),Rear Admiral,Alive,,Satoshi Hino,Prince Grus,,,,,,Glorp-Glorp Fruit,Squish,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,パウンド,Paundo,Pound,Chapter 831; Episode 792,Charlotte Family (Former)‡,,Alive,August 21st,Patrick McAlister,Pound,Grand Line (New World),,48,"731 cm (24'0"")",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,ポツーン,Potsūn,Potsun,Chapter 217; Episode 130,,Doctor,Alive,,,Potsun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,ポートガス・D（ディー）・ルージュ,Pōtogasu Dī Rūju,Portgaz D. Rouge,Chapter 550; Episode 0,Gol D. Roger; Portgas D. Ace,,Deceased,June 10th,Taylor Anne Ramsey,Portgas D. Rouge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,プロメテウス,Purometeusu,Prometheus,Chapter 827; Episode 786,Big Mom Pirates; Rocks Pirates (former),,Unknown,July 19th,Alex Mai,Prometheus,Grand Line,Whole Cake Island,,"239 cm (7'10"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Mera Mera no Mi,Pōtogasu Dī Ēsu,"Portgas D. Ace (uncut dub);Portgaz D. Ace (VIZ, Funimation subs);Portgaz D. Trace (edited dub)",Chapter 154; Episode 91,Whitebeard Pirates;Spade Pirates (former);Dadan Family (former);Impel Down (former),2nd Division Commander; Pirate; Captain (former); Prisoner of the Great Prison (former); Thief (former); Bandit (former),Deceased,January 1st,Travis Willingham;Chris Burnett (young),Portgas D. Ace,South Blue (Baterilla),Baterilla (former);Mt. Colubo (former),,"185 cm (6'1"") (age 20)103 cm (3'5"") (age 10)",S,"Flame-Flame Fruit (VIZ, Funimation);Flare-Flare Fruit (4Kids, Funimation subs)",Sound of fire burning,Logia,20,,,,,,,,,,,,,,,,,,,,,,,,"Gol D. Ace (ゴール・D・エース, Gōru D. Ēsu?)",,,,,,,,,,,,,
417,ポトフ,Potofu,N/A,Chapter 908; Episode 889,Levely,King,Alive,,David Wilson-Brown,Potaufeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,ポロ,Poro,Poro,Chapter 14; Episode 8,Orange Town,Bookstore Owner,Alive,May 11th,,Poro,East Blue (Orange Town),Orange Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,ポルシェーミ,Porushēmi,Porchemy,Chapter 583; Episode 494,Bluejam Pirates,Pirate,Deceased,April 3rd,Patrick Camacho,Porchemy,East Blue (Goa Kingdom),,,"320 cm (10'6"")",X,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,ポルチェ,Poruche,Porche,Chapter 305; Episode 207,Foxy Pirates,Pirate; Combatant,Alive,November 16th,Tia Ballard,Porche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,ポピー,Popī,Poppy,Chapter 515; Episode 409,Kuja,Warrior,Alive,May 17th,Michelle Lee,Poppy,Calm Belt (Amazon Lily),Amazon Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,ポッポコ,Poppoko,Poppoko,Chapter 2; Episode 1,Alvida Pirates,Pirate,Alive,September 2nd,Phil Parsons,Poppoko,East Blue,Goat Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,ポンスキー,Ponsukī,Pomsky,Chapter 1089,Marines,Vice Admiral,Alive,,,Pomsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,ポーカー,Pōkā,Poker,Chapter 997; Episode 982,"Beasts Pirates, Tama",Shinuchi,Alive,,Matthew Elkins,Poker,,,,,,Rattlesnake SMILE,,Artificial Zoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,プルミング聖,Purumingu Sei,Saint Pluming,Chapter 1083,World Government,World Noble,Alive,,,Pluming,,Mary Geoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,ピサロ,Pisaro,Pisaro,Chapter 72; Episode 32,Arlong Pirates; Sun Pirates (former),Pirate; Musician,Alive,August 14th,Jeremy Inman,Pisaro,"Grand Line (Ryugu Kingdom, Fish-Man Island)","Fish-Man District (former),  Arlong Park (former)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,ピーマン,Pīman,PepperPieman (Odex),Chapter 23; Episode 9,Usopp Pirates (disbanded),Pretend Pirate (former),Alive,April 9th,Cherami Leigh;Laura Bailey (Unlimited Adventure),Piiman,East Blue (Gecko Islands),Syrup Village,9 (debut)11 (after timeskip),"120 cm (3'11"")",XF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,ピンキー,Pinkī,Pinky,Chapter 8; Episode 4,,,Alive,September 29th,"""Monstrous Bird"" (怪鳥, Kaichō?)",Pinky,East Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
